player_id,name,position,team,engine_value,sf_engine_value,value_confidence,engine_value_8,sf_engine_value_8,engine_value_10,sf_engine_value_10,engine_value_12,sf_engine_value_12,engine_value_14,sf_engine_value_14
8150,Kyren Williams,RB,LAR,663.2,568.9,0.272,638.1,547.3,663.2,568.9,683.5,586.4,702.9,603.0
12512,Quinshon Judkins,RB,CLE,594.7,510.7,0.29,569.4,488.9,594.7,510.7,614.8,528.1,633.9,544.5
12481,Cam Skattebo,RB,NYG,591.2,507.7,0.29,565.1,485.3,591.2,507.7,612.2,525.7,632.1,542.8
8155,Breece Hall,RB,NYJ,586.9,503.9,0.27,560.5,481.3,586.9,503.9,608.6,522.6,629.3,540.3
12529,TreVeyon Henderson,RB,NE,571.8,491.1,0.29,544.8,468.0,571.8,491.1,593.6,509.9,614.4,527.7
6813,Jonathan Taylor,RB,IND,564.3,484.5,0.289,564.3,484.5,564.3,484.5,569.2,488.7,588.2,504.9
4034,Christian McCaffrey,RB,SF,554.7,476.4,0.29,554.7,476.4,554.7,476.4,554.7,476.4,554.7,476.4
8151,Kenneth Walker III,RB,SEA,520.3,447.1,0.264,502.5,432.0,520.3,447.1,546.0,469.0,570.8,490.2
8138,James Cook III,RB,BUF,497.6,427.8,0.28,483.4,415.8,497.6,427.8,518.7,445.7,543.9,467.2
9224,Chase Brown,RB,CIN,477.9,411.0,0.279,456.5,392.8,477.9,411.0,499.9,429.8,525.1,451.2
3198,Derrick Henry,RB,BAL,473.0,406.9,0.266,473.0,406.9,473.0,406.9,473.0,406.9,473.0,406.9
9753,Zach Charbonnet,RB,SEA,459.3,395.2,0.278,438.7,377.7,459.3,395.2,480.6,413.3,508.9,437.4
7588,Javonte Williams,RB,DAL,457.1,393.3,0.29,439.9,378.7,457.1,393.3,480.3,413.0,506.0,434.9
4866,Saquon Barkley,RB,PHI,448.1,385.7,0.264,448.1,385.7,448.1,385.7,448.1,385.7,448.1,385.7
5850,Josh Jacobs,RB,GB,446.2,384.0,0.272,446.2,384.0,446.2,384.0,446.2,384.0,446.2,384.0
7543,Travis Etienne Jr.,RB,JAX,435.4,374.8,0.29,435.4,374.8,435.4,374.8,435.4,374.8,435.4,374.8
11589,Trey Benson,RB,ARI,404.4,348.5,0.29,382.7,330.0,404.4,348.5,428.2,368.7,454.5,391.1
9508,Tyjae Spears,RB,TEN,400.9,345.6,0.274,379.1,326.9,400.9,345.6,424.8,365.8,451.2,388.3
6790,D'Andre Swift,RB,CHI,392.3,338.2,0.282,392.3,338.2,392.3,338.2,392.3,338.2,392.3,338.2
7611,Rhamondre Stevenson,RB,NE,387.3,334.0,0.28,387.3,334.0,387.3,334.0,387.3,334.0,387.3,334.0
8228,Jaylen Warren,RB,PIT,376.6,324.9,0.29,376.6,324.9,376.6,324.9,376.6,324.9,376.6,324.9
6806,J.K. Dobbins,RB,DEN,375.1,323.6,0.267,375.1,323.6,375.1,323.6,375.1,323.6,375.1,323.6
12489,RJ Harvey,RB,DEN,373.2,322.0,0.29,352.8,304.6,373.2,322.0,398.1,343.2,425.6,366.5
11647,Kimani Vidal,RB,LAC,371.2,320.2,0.29,364.0,314.1,371.2,320.2,390.1,336.3,419.3,361.1
12534,Kyle Monangai,RB,CHI,367.4,317.0,0.29,357.3,308.4,367.4,317.0,387.9,334.5,416.9,359.1
7567,Kenneth Gainwell,RB,PIT,366.5,316.3,0.29,366.5,316.3,366.5,316.3,366.5,316.3,366.5,316.3
5892,David Montgomery,RB,DET,362.4,312.7,0.264,362.4,312.7,362.4,312.7,362.4,312.7,362.4,312.7
7021,Rico Dowdle,RB,CAR,350.7,302.8,0.278,350.7,302.8,350.7,302.8,350.7,302.8,350.7,302.8
4035,Alvin Kamara,RB,NO,344.4,297.4,0.264,344.4,297.4,344.4,297.4,344.4,297.4,344.4,297.4
7594,Chuba Hubbard,RB,CAR,344.4,297.5,0.264,344.4,297.5,344.4,297.5,344.4,297.5,344.4,297.5
12476,Devin Neal,RB,NO,342.2,295.6,0.29,338.8,292.7,342.2,295.6,359.5,310.3,390.0,336.3
4137,James Conner,RB,ARI,332.6,287.4,0.264,332.6,287.4,332.6,287.4,332.6,287.4,332.6,287.4
12533,Jacory Croskey-Merritt,RB,WSH,332.3,287.2,0.29,332.3,287.2,332.3,287.2,332.3,287.2,351.3,303.4
5967,Tony Pollard,RB,TEN,329.0,284.4,0.272,329.0,284.4,329.0,284.4,329.0,284.4,329.0,284.4
9225,Tank Bigsby,RB,PHI,327.0,282.6,0.264,327.0,282.6,327.0,282.6,344.8,297.8,374.3,322.9
11655,Tyrone Tracy Jr.,RB,NYG,326.1,281.9,0.277,326.1,281.9,326.1,281.9,326.1,281.9,332.9,287.6
8136,Rachaad White,RB,TB,324.1,280.2,0.264,324.1,280.2,324.1,280.2,324.1,280.2,324.1,280.2
12474,Woody Marks,RB,HOU,324.1,280.2,0.29,324.1,280.2,324.1,280.2,330.2,285.4,353.9,305.5
8122,Bam Knight,RB,ARI,317.8,274.8,0.29,317.8,274.8,317.8,274.8,317.8,274.8,335.0,289.4
4199,Aaron Jones Sr.,RB,MIN,313.6,271.3,0.264,313.6,271.3,313.6,271.3,313.6,271.3,313.6,271.3
4098,Kareem Hunt,RB,KC,309.9,268.2,0.266,309.9,268.2,309.9,268.2,309.9,268.2,309.9,268.2
9506,Sean Tucker,RB,TB,309.4,267.7,0.278,309.4,267.7,309.4,267.7,311.1,269.1,333.0,287.8
8132,Tyler Allgeier,RB,ATL,303.7,262.9,0.28,303.7,262.9,303.7,262.9,303.7,262.9,303.7,262.9
11586,Blake Corum,RB,LAR,298.7,258.6,0.29,298.7,258.6,298.7,258.6,298.7,258.6,300.6,260.2
9511,Keaton Mitchell,RB,BAL,297.7,257.7,0.285,297.7,257.7,297.7,257.7,297.7,257.7,320.1,276.8
10219,Chris Rodriguez Jr.,RB,WSH,297.3,257.4,0.285,297.3,257.4,297.3,257.4,297.3,257.4,297.3,257.4
8205,Isiah Pacheco,RB,KC,292.7,253.5,0.273,292.7,253.5,292.7,253.5,292.7,253.5,292.7,253.5
8408,Jordan Mason,RB,MIN,284.5,246.5,0.272,284.5,246.5,284.5,246.5,284.5,246.5,284.5,246.5
7607,Michael Carter,RB,ARI,281.7,244.2,0.264,281.7,244.2,281.7,244.2,281.7,244.2,281.7,244.2
8154,Brian Robinson Jr.,RB,SF,263.0,228.2,0.264,263.0,228.2,263.0,228.2,263.0,228.2,263.0,228.2
4018,Joe Mixon,RB,HOU,251.8,218.7,0.264,251.8,218.7,251.8,218.7,251.8,218.7,251.8,218.7
4988,Nick Chubb,RB,HOU,251.7,218.6,0.271,251.7,218.6,251.7,218.6,251.7,218.6,251.7,218.6
7528,Najee Harris,RB,LAC,249.0,216.3,0.264,249.0,216.3,249.0,216.3,249.0,216.3,249.0,216.3
5995,Justice Hill,RB,BAL,243.4,211.5,0.271,243.4,211.5,243.4,211.5,243.4,211.5,243.4,211.5
8143,Jerome Ford,RB,CLE,242.5,210.7,0.264,242.5,210.7,242.5,210.7,242.5,210.7,242.5,210.7
4663,Austin Ekeler,RB,WSH,242.4,210.7,0.264,242.4,210.7,242.4,210.7,242.4,210.7,242.4,210.7
6130,Devin Singletary,RB,NYG,239.7,208.4,0.277,239.7,208.4,239.7,208.4,239.7,208.4,239.7,208.4
6151,Miles Sanders,RB,DAL,232.3,202.1,0.276,232.3,202.1,232.3,202.1,232.3,202.1,232.3,202.1
6945,Antonio Gibson,RB,NE,223.2,194.3,0.272,223.2,194.3,223.2,194.3,223.2,194.3,223.2,194.3
4147,Samaje Perine,RB,CIN,205.4,179.2,0.278,205.4,179.2,205.4,179.2,205.4,179.2,205.4,179.2
2749,Raheem Mostert,RB,LV,203.4,177.5,0.268,203.4,177.5,203.4,177.5,203.4,177.5,203.4,177.5
2359,Ameer Abdullah,RB,IND,180.7,158.2,0.264,180.7,158.2,180.7,158.2,180.7,158.2,180.7,158.2
6828,AJ Dillon,RB,PHI,147.5,130.0,0.281,147.5,130.0,147.5,130.0,147.5,130.0,147.5,130.0
8130,Trey McBride,TE,ARI,428.9,374.5,0.293,428.9,374.5,428.9,374.5,428.9,374.5,428.9,374.5
11604,Brock Bowers,TE,LV,350.2,302.5,0.282,333.3,288.0,350.2,302.5,376.1,324.9,391.5,338.4
9484,Tucker Kraft,TE,GB,344.8,298.3,0.297,331.9,287.1,344.8,298.3,364.6,315.7,376.3,326.0
10859,Sam LaPorta,TE,DET,297.0,257.3,0.287,281.5,244.0,297.0,257.3,320.9,278.0,335.2,290.5
7553,Kyle Pitts Sr.,TE,ATL,275.9,239.2,0.297,273.3,237.0,275.9,239.2,301.9,261.6,317.6,275.3
12506,Harold Fannin Jr.,TE,CLE,213.4,186.0,0.297,213.4,186.0,213.4,186.0,213.4,186.0,213.4,186.0
12518,Tyler Warren,TE,IND,204.8,178.7,0.297,204.8,178.7,204.8,178.7,204.8,178.7,205.3,179.1
12517,Colston Loveland,TE,CHI,196.2,171.4,0.297,196.2,171.4,196.2,171.4,196.2,171.4,196.2,171.4
4217,George Kittle,TE,SF,193.0,168.7,0.281,193.0,168.7,193.0,168.7,193.2,168.8,194.1,169.6
10236,Dalton Kincaid,TE,BUF,191.6,167.5,0.293,189.0,165.3,191.6,167.5,193.4,169.0,208.9,182.3
9480,Brenton Strange,TE,JAX,189.8,166.0,0.297,188.3,164.7,189.8,166.0,193.3,168.9,196.0,171.2
11603,AJ Barner,TE,SEA,189.6,165.8,0.297,189.6,165.8,189.6,165.8,189.6,165.8,189.6,165.8
12493,Oronde Gadsden II,TE,LAC,184.3,161.3,0.297,184.3,161.3,184.3,161.3,184.3,161.3,184.3,161.3
11597,Theo Johnson,TE,NYG,179.5,157.1,0.293,179.5,157.1,179.5,157.1,179.5,157.1,180.8,158.3
8110,Jake Ferguson,TE,DAL,176.8,154.9,0.295,173.7,152.3,176.8,154.9,179.0,156.7,180.7,158.2
5022,Dallas Goedert,TE,PHI,163.4,143.5,0.29,163.4,143.5,163.4,143.5,163.8,143.8,164.8,144.6
1466,Travis Kelce,TE,KC,161.9,142.2,0.281,161.9,142.2,161.9,142.2,161.9,142.2,161.9,142.2
12498,Mason Taylor,TE,NYJ,158.0,138.9,0.297,158.0,138.9,158.0,138.9,158.0,138.9,158.0,138.9
5844,T.J. Hockenson,TE,MIN,150.1,132.2,0.28,146.3,129.0,150.1,132.2,152.7,134.4,154.7,136.1
5001,Dalton Schultz,TE,HOU,148.7,131.0,0.295,148.7,131.0,148.7,131.0,149.9,132.0,151.8,133.7
7002,Juwan Johnson,TE,NO,147.2,129.7,0.295,147.0,129.5,147.2,129.7,148.3,130.7,150.6,132.6
3214,Hunter Henry,TE,NE,146.3,128.9,0.289,146.3,128.9,146.3,128.9,146.3,128.9,146.3,128.9
4033,David Njoku,TE,CLE,144.3,127.2,0.271,143.3,126.4,144.3,127.2,146.5,129.1,148.7,131.0
8111,Cade Otton,TE,TB,139.5,123.2,0.276,138.5,122.3,139.5,123.2,142.3,125.6,144.5,127.4
6865,Colby Parkinson,TE,LAR,134.5,118.9,0.297,134.5,118.9,134.5,118.9,134.5,118.9,134.5,118.9
5012,Mark Andrews,TE,BAL,130.4,115.4,0.273,130.4,115.4,130.4,115.4,130.4,115.4,130.4,115.4
7600,Pat Freiermuth,TE,PIT,129.3,114.5,0.274,129.3,114.5,129.3,114.5,129.3,114.5,129.3,114.5
