player_id,name,position,team,engine_value
9488,Jaxon Smith-Njigba,WR,SEA,973.4
8151,Kenneth Walker III,RB,SEA,492.4
7591,Justin Fields,QB,NYJ,723.1
7602,Kylen Granson,TE,PHI,353.7
11584,Bucky Irving,RB,TB,824.9
9497,Jalin Hyatt,WR,NYG,441.8
5374,Justin Watson,WR,HOU,394.5
7537,Jaret Patterson,RB,LAC,277.4
11655,Tyrone Tracy Jr.,RB,NYG,398.3
9226,De'Von Achane,RB,MIA,845.0
12732,Dominic Lovett,WR,DET,423.6
8146,Garrett Wilson,WR,NYJ,655.9
4177,Mack Hollins,WR,NE,429.2
5859,A.J. Brown,WR,PHI,582.2
9757,Kendre Miller,RB,NO,415.0
9224,Chase Brown,RB,CIN,503.1
10229,Rashee Rice,WR,KC,942.9
11624,Xavier Worthy,WR,KC,585.0
12658,Jackson Hawes,TE,BUF,428.3
6797,Justin Herbert,QB,LAC,780.1
11635,Ladd McConkey,WR,LAC,655.9
11994,Kameron Johnson,WR,TB,444.6
11633,Jamari Thrash,WR,CLE,454.0
12486,Dillon Gabriel,QB,CLE,609.6
3163,Jared Goff,QB,DET,734.7
6806,J.K. Dobbins,RB,DEN,434.4
11650,Luke McCaffrey,WR,WSH,521.2
4217,George Kittle,TE,SF,543.9
11600,Ja'Tavion Sanders,TE,CAR,444.5
3200,Sterling Shepard,WR,TB,431.5
10210,Cameron Latu,TE,PHI,370.2
7571,Rashod Bateman,WR,BAL,518.0
8148,Jameson Williams,WR,DET,582.5
12527,Ashton Jeanty,RB,LV,765.5
5850,Josh Jacobs,RB,GB,715.1
2359,Ameer Abdullah,RB,IND,203.4
4066,Evan Engram,TE,DEN,384.1
10236,Dalton Kincaid,TE,BUF,609.9
7553,Kyle Pitts Sr.,TE,ATL,509.7
8698,Jake Tonges,TE,SF,463.1
7594,Chuba Hubbard,RB,CAR,392.1
3214,Hunter Henry,TE,NE,458.1
8250,Tay Martin,WR,WSH,383.7
10213,Tre Tucker,WR,LV,610.3
11564,Drake Maye,QB,NE,839.8
5127,Kyle Allen,QB,DET,407.5
7842,Luke Farrell,TE,SF,368.8
8135,Treylon Burks,WR,WSH,490.5
12490,Bhayshul Tuten,RB,JAX,478.2
8207,Tyler Goodson,RB,IND,294.5
6770,Joe Burrow,QB,CIN,578.3
11643,Jaylen Wright,RB,MIA,357.0
7757,Ben Skowronek,WR,PIT,366.5
12524,Shedeur Sanders,QB,CLE,565.7
11570,Rasheen Ali,RB,BAL,292.8
6783,Jerry Jeudy,WR,CLE,537.2
8167,Christian Watson,WR,GB,578.7
6130,Devin Singletary,RB,NYG,302.4
11510,Hunter Luepke,RB,DAL,264.3
7547,Amon-Ra St. Brown,WR,DET,867.3
11377,Tyrell Shavers,WR,BUF,437.2
3269,Chris Moore,WR,WSH,352.7
11306,Xavier Gipson,WR,PHI,412.3
10871,Luke Schoonmaker,TE,DAL,370.2
12541,Dont'e Thornton Jr.,WR,LV,458.6
4054,Mo Alie-Cox,TE,IND,252.5
11895,Mason Tipton,WR,NO,419.4
10859,Sam LaPorta,TE,DET,617.4
3161,Carson Wentz,QB,MIN,685.8
8123,Hassan Haskins,RB,LAC,241.6
11627,Troy Franklin,WR,DEN,653.3
10234,Derius Davis,WR,LAC,401.0
4035,Alvin Kamara,RB,NO,381.5
12510,Jalen Milroe,QB,SEA,404.8
7525,DeVonta Smith,WR,PHI,616.6
7090,Darnell Mooney,WR,ATL,460.0
11563,Bo Nix,QB,DEN,771.1
9479,Darnell Washington,TE,PIT,449.3
4718,Dare Ogunbowale,RB,HOU,112.1
6960,Tyler Johnson,WR,NYJ,431.7
7436,Mason Kinsey,WR,TEN,366.4
10218,Xavier Hutchinson,WR,HOU,525.0
4892,Baker Mayfield,QB,TB,728.5
12699,LaJohntay Wester,WR,BAL,414.2
5113,Cedrick Wilson Jr.,WR,MIA,318.3
9501,DeMario Douglas,WR,NE,543.5
11623,Jordan Whittington,WR,LAR,459.5
7002,Juwan Johnson,TE,NO,485.5
5008,Durham Smythe,TE,CHI,282.6
7587,Dyami Brown,WR,JAX,514.4
10219,Chris Rodriguez Jr.,RB,WSH,350.8
8127,Charlie Kolar,TE,BAL,400.3
1373,Geno Smith,QB,LV,630.0
6865,Colby Parkinson,TE,LAR,450.0
8484,Ko Kieft,TE,TB,347.1
11210,Malik Heath,WR,GB,426.0
12357,David Martin-Robinson,TE,TEN,383.7
12520,Xavier Restrepo,WR,TEN,542.0
8917,KaVontae Turpin,WR,DAL,422.4
6869,Adam Trautman,TE,DEN,367.6
11589,Trey Benson,RB,ARI,492.8
5973,Josh Oliver,TE,MIN,374.7
11201,Blake Whiteheart,TE,CLE,374.3
12670,KeAndre Lambert-Smith,WR,LAC,421.4
10224,Brayden Willis,TE,SF,370.2
7543,Travis Etienne Jr.,RB,JAX,582.7
11435,Emanuel Wilson,RB,GB,364.0
