player_id,name,position,team,engine_value,sf_engine_value,value_confidence,engine_value_8,sf_engine_value_8,engine_value_10,sf_engine_value_10,engine_value_12,sf_engine_value_12,engine_value_14,sf_engine_value_14
4984,Josh Allen,QB,BUF,749.2,999.9,0.352,749.2,999.9,749.2,999.9,749.2,999.9,749.2,999.9
6904,Jalen Hurts,QB,PHI,622.0,867.9,0.336,613.8,845.3,622.0,867.9,628.5,886.9,637.2,902.7
8183,Brock Purdy,QB,SF,508.8,658.0,0.35,469.4,640.7,508.8,658.0,534.9,686.5,569.0,745.3
6797,Justin Herbert,QB,LAC,488.3,646.4,0.344,484.6,641.6,488.3,646.4,524.7,661.6,565.4,713.3
4046,Patrick Mahomes,QB,KC,478.4,647.2,0.353,472.4,639.3,478.4,647.2,480.5,649.9,485.4,656.4
4881,Lamar Jackson,QB,BAL,469.8,771.5,0.334,463.5,761.4,469.8,771.5,471.9,774.8,476.8,782.7
7523,Trevor Lawrence,QB,JAX,455.8,633.7,0.356,451.7,628.2,455.8,633.7,457.1,635.4,516.0,671.8
11564,Drake Maye,QB,NE,455.3,825.3,0.358,454.6,824.1,455.3,825.3,457.3,828.8,460.9,835.1
421,Matthew Stafford,QB,LAR,445.3,582.3,0.357,445.3,582.3,445.3,582.3,445.3,582.3,445.3,582.3
3163,Jared Goff,QB,DET,437.6,575.7,0.333,437.6,575.7,437.6,575.7,438.3,576.6,443.0,582.5
11566,Jayden Daniels,QB,WSH,436.6,726.7,0.328,431.5,718.4,436.6,726.7,438.4,729.6,445.1,740.4
9758,C.J. Stroud,QB,HOU,429.4,736.7,0.344,429.4,736.7,429.4,736.7,430.8,739.0,435.1,746.1
6804,Jordan Love,QB,GB,428.1,580.9,0.338,421.8,572.5,428.1,580.9,430.1,583.5,435.1,590.0
6770,Joe Burrow,QB,CIN,427.3,577.7,0.331,422.6,571.6,427.3,577.7,429.4,580.5,435.8,588.9
7591,Justin Fields,QB,NYJ,424.4,573.1,0.351,419.4,566.7,424.4,573.1,426.1,575.4,432.8,584.2
4943,Sam Darnold,QB,SEA,409.5,542.5,0.322,409.3,542.3,409.5,542.5,412.0,545.7,416.3,551.3
4892,Baker Mayfield,QB,TB,409.3,546.5,0.331,409.3,546.5,409.3,546.5,409.3,546.5,414.0,552.6
11560,Caleb Williams,QB,CHI,408.3,762.2,0.352,408.3,762.2,408.3,762.2,408.3,762.2,412.2,769.3
5849,Kyler Murray,QB,ARI,407.1,558.1,0.33,402.6,552.1,407.1,558.1,409.7,561.5,415.8,569.6
11563,Bo Nix,QB,DEN,400.1,561.9,0.336,394.0,553.5,400.1,561.9,402.1,564.6,406.9,571.0
6768,Tua Tagovailoa,QB,MIA,391.5,629.5,0.319,391.5,629.5,391.5,629.5,394.0,633.4,398.5,640.2
3294,Dak Prescott,QB,DAL,379.9,535.2,0.355,379.9,535.2,379.9,535.2,379.9,535.2,379.9,535.2
5870,Daniel Jones,QB,IND,375.1,531.8,0.35,375.1,531.8,375.1,531.8,375.1,531.8,378.7,536.8
12508,Jaxson Dart,QB,NYG,362.4,650.3,0.35,362.4,650.3,362.4,650.3,362.4,650.3,362.4,650.3
