player_id,name,position,team,engine_value,sf_engine_value,value_confidence,engine_value_8,sf_engine_value_8,engine_value_10,sf_engine_value_10,engine_value_12,sf_engine_value_12,engine_value_14,sf_engine_value_14
4984,Josh Allen,QB,BUF,739.1,999.9,0.352,739.1,999.9,739.1,999.9,739.1,999.9,739.1,999.9
6904,Jalen Hurts,QB,PHI,550.6,725.6,0.336,532.2,691.6,550.6,725.6,555.8,734.5,562.9,749.2
6797,Justin Herbert,QB,LAC,507.5,649.6,0.344,471.8,634.5,507.5,649.6,516.1,658.6,527.5,671.0
4046,Patrick Mahomes,QB,KC,474.5,651.8,0.353,473.3,650.1,474.5,651.8,488.2,658.3,505.0,665.3
4881,Lamar Jackson,QB,BAL,463.1,773.0,0.334,461.7,770.8,463.1,773.0,467.7,780.4,486.9,786.4
8183,Brock Purdy,QB,SF,444.0,616.2,0.35,442.6,614.3,444.0,616.2,448.7,622.5,450.2,624.5
421,Matthew Stafford,QB,LAR,439.1,583.2,0.357,439.1,583.2,439.1,583.2,439.1,583.2,439.1,583.2
11564,Drake Maye,QB,NE,437.7,807.6,0.358,437.7,807.6,437.7,807.6,437.7,807.6,439.8,811.4
3163,Jared Goff,QB,DET,433.1,578.6,0.333,431.7,576.7,433.1,578.6,437.1,583.8,439.0,586.3
7523,Trevor Lawrence,QB,JAX,430.1,608.4,0.356,428.6,606.2,430.1,608.4,435.4,615.6,437.1,617.8
6770,Joe Burrow,QB,CIN,422.0,579.6,0.331,420.2,577.3,422.0,579.6,427.7,587.2,429.5,589.6
11566,Jayden Daniels,QB,WSH,415.5,704.3,0.328,415.5,704.3,415.5,704.3,419.3,710.5,421.3,713.8
9758,C.J. Stroud,QB,HOU,412.9,721.3,0.344,412.9,721.3,412.9,721.3,412.9,721.3,414.8,724.6
6804,Jordan Love,QB,GB,410.2,566.1,0.338,408.9,564.3,410.2,566.1,416.2,574.1,418.1,576.6
7591,Justin Fields,QB,NYJ,408.5,561.1,0.351,407.2,559.3,408.5,561.1,412.2,566.0,414.7,569.2
4892,Baker Mayfield,QB,TB,404.0,548.0,0.331,403.5,547.5,404.0,548.0,408.1,553.5,410.0,555.9
4943,Sam Darnold,QB,SEA,402.8,542.2,0.322,401.4,540.4,402.8,542.2,406.9,547.6,408.8,550.0
5849,Kyler Murray,QB,ARI,398.1,554.9,0.33,397.1,553.5,398.1,554.9,404.2,563.0,406.1,565.6
11560,Caleb Williams,QB,CHI,392.5,746.8,0.352,392.5,746.8,392.5,746.8,392.5,746.8,393.3,748.2
6768,Tua Tagovailoa,QB,MIA,382.0,625.1,0.319,382.0,625.1,382.0,625.1,386.4,632.1,388.5,635.3
11563,Bo Nix,QB,DEN,378.0,540.5,0.336,376.9,539.0,378.0,540.5,382.0,546.0,384.2,548.9
3294,Dak Prescott,QB,DAL,374.3,536.1,0.355,374.3,536.1,374.3,536.1,374.3,536.1,374.3,536.1
5870,Daniel Jones,QB,IND,367.0,529.5,0.35,367.0,529.5,367.0,529.5,369.3,532.6,371.2,535.2
12508,Jaxson Dart,QB,NYG,346.5,634.4,0.35,346.5,634.4,346.5,634.4,346.5,634.4,346.5,634.4
9228,Bryce Young,QB,CAR,330.3,623.4,0.327,330.3,623.4,330.3,623.4,330.3,623.4,330.3,623.4
3257,Jacoby Brissett,QB,ARI,324.1,472.9,0.348,324.1,472.9,324.1,472.9,324.1,472.9,324.1,472.9
3161,Carson Wentz,QB,MIN,323.3,454.8,0.344,323.3,454.8,323.3,454.8,323.3,454.8,323.3,454.8
1166,Kirk Cousins,QB,ATL,318.4,434.3,0.328,318.4,434.3,318.4,434.3,318.4,434.3,318.4,434.3
19,Joe Flacco,QB,CIN,308.7,422.3,0.339,308.7,422.3,308.7,422.3,308.7,422.3,308.7,422.3
7527,Mac Jones,QB,SF,304.3,585.5,0.33,304.3,585.5,304.3,585.5,304.3,585.5,304.3,585.5
11562,Spencer Rattler,QB,NO,299.4,546.3,0.326,299.4,546.3,299.4,546.3,299.4,546.3,299.4,546.3
6111,Jake Browning,QB,CIN,293.9,522.9,0.348,293.9,522.9,293.9,522.9,293.9,522.9,293.9,522.9
96,Aaron Rodgers,QB,PIT,291.6,401.1,0.326,291.6,401.1,291.6,401.1,291.6,401.1,291.6,401.1
1373,Geno Smith,QB,LV,291.0,421.1,0.318,291.0,421.1,291.0,421.1,291.0,421.1,291.0,421.1
12522,Cam Ward,QB,TEN,290.1,524.4,0.336,290.1,524.4,290.1,524.4,290.1,524.4,290.1,524.4
2306,Jameis Winston,QB,NYG,286.6,431.1,0.341,286.6,431.1,286.6,431.1,286.6,431.1,286.6,431.1
11565,J.J. McCarthy,QB,MIN,285.1,573.8,0.341,285.1,573.8,285.1,573.8,285.1,573.8,285.1,573.8
12545,Tyler Shough,QB,NO,282.2,580.6,0.344,282.2,580.6,282.2,580.6,282.2,580.6,282.2,580.6
2307,Marcus Mariota,QB,WSH,282.1,413.0,0.317,282.1,413.0,282.1,413.0,282.1,413.0,282.1,413.0
7585,Davis Mills,QB,HOU,258.0,519.4,0.336,258.0,519.4,258.0,519.4,258.0,519.4,258.0,519.4
12524,Shedeur Sanders,QB,CLE,257.7,527.0,0.337,257.7,527.0,257.7,527.0,257.7,527.0,257.7,527.0
11559,Michael Penix Jr.,QB,ATL,257.3,549.3,0.341,257.3,549.3,257.3,549.3,257.3,549.3,257.3,549.3
