player_id,name,position,team,engine_value
9488,Jaxon Smith-Njigba,WR,SEA,951.7
8151,Kenneth Walker III,RB,SEA,458.5
7591,Justin Fields,QB,NYJ,596.3
7602,Kylen Granson,TE,PHI,354.7
11584,Bucky Irving,RB,TB,799.6
9497,Jalin Hyatt,WR,NYG,411.2
5374,Justin Watson,WR,HOU,381.1
7537,Jaret Patterson,RB,LAC,350.3
11655,Tyrone Tracy Jr.,RB,NYG,367.7
9226,De'Von Achane,RB,MIA,768.5
12732,Dominic Lovett,WR,DET,381.7
8146,Garrett Wilson,WR,NYJ,665.7
4177,Mack Hollins,WR,NE,431.1
5859,A.J. Brown,WR,PHI,635.3
9757,Kendre Miller,RB,NO,454.6
9224,Chase Brown,RB,CIN,505.5
10229,Rashee Rice,WR,KC,999.9
11624,Xavier Worthy,WR,KC,567.7
12658,Jackson Hawes,TE,BUF,414.4
6797,Justin Herbert,QB,LAC,626.7
11635,Ladd McConkey,WR,LAC,666.9
11994,Kameron Johnson,WR,TB,410.5
11633,Jamari Thrash,WR,CLE,425.9
12486,Dillon Gabriel,QB,CLE,490.9
3163,Jared Goff,QB,DET,570.6
6806,J.K. Dobbins,RB,DEN,414.8
11650,Luke McCaffrey,WR,WSH,503.1
4217,George Kittle,TE,SF,480.5
11600,Ja'Tavion Sanders,TE,CAR,421.3
3200,Sterling Shepard,WR,TB,429.5
10210,Cameron Latu,TE,PHI,371.5
7571,Rashod Bateman,WR,BAL,494.3
8148,Jameson Williams,WR,DET,619.6
12527,Ashton Jeanty,RB,LV,814.2
5850,Josh Jacobs,RB,GB,629.2
2359,Ameer Abdullah,RB,IND,186.5
4066,Evan Engram,TE,DEN,372.3
10236,Dalton Kincaid,TE,BUF,563.8
7553,Kyle Pitts Sr.,TE,ATL,482.4
8698,Jake Tonges,TE,SF,427.7
8253,,,,458.2
7594,Chuba Hubbard,RB,CAR,382.5
3214,Hunter Henry,TE,NE,424.3
8250,Tay Martin,WR,WSH,352.5
10213,Tre Tucker,WR,LV,593.0
11564,Drake Maye,QB,NE,761.6
5127,Kyle Allen,QB,DET,290.8
7842,Luke Farrell,TE,SF,359.8
8135,Treylon Burks,WR,WSH,495.8
12490,Bhayshul Tuten,RB,JAX,533.5
8207,Tyler Goodson,RB,IND,220.9
6770,Joe Burrow,QB,CIN,512.6
11643,Jaylen Wright,RB,MIA,452.8
7757,Ben Skowronek,WR,PIT,332.3
12524,Shedeur Sanders,QB,CLE,488.7
11570,Rasheen Ali,RB,BAL,327.4
6783,Jerry Jeudy,WR,CLE,511.8
8167,Christian Watson,WR,GB,588.5
6130,Devin Singletary,RB,NYG,294.6
11510,Hunter Luepke,RB,DAL,244.8
7547,Amon-Ra St. Brown,WR,DET,806.9
11377,Tyrell Shavers,WR,BUF,405.7
3269,Chris Moore,WR,WSH,344.0
11306,Xavier Gipson,WR,PHI,375.7
10871,Luke Schoonmaker,TE,DAL,368.0
12541,Dont'e Thornton Jr.,WR,LV,426.9
4054,Mo Alie-Cox,TE,IND,259.3
11895,Mason Tipton,WR,NO,395.1
10859,Sam LaPorta,TE,DET,571.9
3161,Carson Wentz,QB,MIN,523.0
8123,Hassan Haskins,RB,LAC,231.4
11627,Troy Franklin,WR,DEN,628.8
10234,Derius Davis,WR,LAC,366.9
4035,Alvin Kamara,RB,NO,357.1
12510,Jalen Milroe,QB,SEA,333.1
7525,DeVonta Smith,WR,PHI,582.5
7090,Darnell Mooney,WR,ATL,452.3
11563,Bo Nix,QB,DEN,686.1
9479,Darnell Washington,TE,PIT,433.3
4718,Dare Ogunbowale,RB,HOU,114.5
6960,Tyler Johnson,WR,NYJ,400.2
7436,Mason Kinsey,WR,TEN,331.7
8583,,,,350.3
10218,Xavier Hutchinson,WR,HOU,507.8
4892,Baker Mayfield,QB,TB,569.0
12699,LaJohntay Wester,WR,BAL,377.2
5113,Cedrick Wilson Jr.,WR,MIA,306.1
9501,DeMario Douglas,WR,NE,527.0
