player_id,name,position,team,engine_value
4984,Josh Allen,QB,BUF,719.5
6904,Jalen Hurts,QB,PHI,572.0
8183,Brock Purdy,QB,SF,503.0
4881,Lamar Jackson,QB,BAL,499.3
7523,Trevor Lawrence,QB,JAX,452.4
4046,Patrick Mahomes,QB,KC,441.0
6797,Justin Herbert,QB,LAC,422.4
6770,Joe Burrow,QB,CIN,412.9
11564,Drake Maye,QB,NE,388.1
11563,Bo Nix,QB,DEN,384.8
5870,Daniel Jones,QB,IND,384.6
3294,Dak Prescott,QB,DAL,384.4
6804,Jordan Love,QB,GB,383.6
4892,Baker Mayfield,QB,TB,375.7
5849,Kyler Murray,QB,ARI,374.4
3163,Jared Goff,QB,DET,372.2
11560,Caleb Williams,QB,CHI,369.0
7591,Justin Fields,QB,NYJ,368.9
421,Matthew Stafford,QB,LAR,366.5
11566,Jayden Daniels,QB,WSH,359.3
9758,C.J. Stroud,QB,HOU,345.9
4943,Sam Darnold,QB,SEA,333.2
3257,Jacoby Brissett,QB,ARI,313.7
6768,Tua Tagovailoa,QB,MIA,310.7
9228,Bryce Young,QB,CAR,308.0
2306,Jameis Winston,QB,NYG,302.8
12508,Jaxson Dart,QB,NYG,296.8
11559,Michael Penix Jr.,QB,ATL,290.7
7527,Mac Jones,QB,SF,290.3
12545,Tyler Shough,QB,NO,283.0
3161,Carson Wentz,QB,MIN,280.1
6111,Jake Browning,QB,CIN,274.3
1373,Geno Smith,QB,LV,268.9
2307,Marcus Mariota,QB,WSH,264.3
19,Joe Flacco,QB,CIN,260.3
7585,Davis Mills,QB,HOU,259.2
11562,Spencer Rattler,QB,NO,252.6
1166,Kirk Cousins,QB,ATL,252.2
11565,J.J. McCarthy,QB,MIN,249.5
96,Aaron Rodgers,QB,PIT,239.6
12524,Shedeur Sanders,QB,CLE,228.4
12522,Cam Ward,QB,TEN,227.5
1234,Russell Wilson,QB,NYG,227.2
7083,Tyler Huntley,QB,BAL,225.4
3976,Mitchell Trubisky,QB,BUF,210.5
827,Tyrod Taylor,QB,NYJ,205.4
9230,Tanner McKee,QB,PHI,188.9
1837,Jimmy Garoppolo,QB,LAR,188.3
4972,Mason Rudolph,QB,PIT,180.0
12486,Dillon Gabriel,QB,CLE,174.1
5854,Drew Lock,QB,SEA,146.7
4381,Taysom Hill,QB,NO,143.0
11256,Tyson Bagent,QB,CHI,140.6
4574,Cooper Rush,QB,BAL,108.4
829,Andy Dalton,QB,CAR,88.5
9221,Jahmyr Gibbs,RB,DET,999.9
9509,Bijan Robinson,RB,ATL,984.3
9226,De'Von Achane,RB,MIA,874.5
11584,Bucky Irving,RB,TB,662.4
12507,Omarion Hampton,RB,LAC,596.8
8150,Kyren Williams,RB,LAR,584.9
12527,Ashton Jeanty,RB,LV,581.0
8155,Breece Hall,RB,NYJ,578.2
12481,Cam Skattebo,RB,NYG,547.4
12512,Quinshon Judkins,RB,CLE,479.4
8138,James Cook III,RB,BUF,471.2
6813,Jonathan Taylor,RB,IND,464.5
9224,Chase Brown,RB,CIN,463.0
12529,TreVeyon Henderson,RB,NE,459.8
8151,Kenneth Walker III,RB,SEA,453.1
4034,Christian McCaffrey,RB,SF,452.3
7588,Javonte Williams,RB,DAL,441.8
9753,Zach Charbonnet,RB,SEA,389.6
7543,Travis Etienne Jr.,RB,JAX,369.9
5850,Josh Jacobs,RB,GB,361.5
4866,Saquon Barkley,RB,PHI,360.9
3198,Derrick Henry,RB,BAL,359.9
6790,D'Andre Swift,RB,CHI,349.3
11589,Trey Benson,RB,ARI,346.4
9508,Tyjae Spears,RB,TEN,336.4
12489,RJ Harvey,RB,DEN,330.5
8228,Jaylen Warren,RB,PIT,321.5
7611,Rhamondre Stevenson,RB,NE,310.8
7567,Kenneth Gainwell,RB,PIT,308.4
6806,J.K. Dobbins,RB,DEN,308.2
12534,Kyle Monangai,RB,CHI,307.8
7021,Rico Dowdle,RB,CAR,295.9
11655,Tyrone Tracy Jr.,RB,NYG,295.3
7594,Chuba Hubbard,RB,CAR,295.1
11647,Kimani Vidal,RB,LAC,294.8
4035,Alvin Kamara,RB,NO,283.7
12476,Devin Neal,RB,NO,279.4
12474,Woody Marks,RB,HOU,279.4
4137,James Conner,RB,ARI,276.9
5892,David Montgomery,RB,DET,273.0
8122,Bam Knight,RB,ARI,272.4
8136,Rachaad White,RB,TB,269.1
5967,Tony Pollard,RB,TEN,266.2
