source,fc_id,sleeper_id,name,position,team,age,value,overall_rank,position_rank,redraft_value,combined_value,trend_30_day,tier,trade_frequency
FantasyCalcAPI,9821,9221,Jahmyr Gibbs,RB,DET,23.7,10519,1,1,9696,20215,1146,1,0.0044
FantasyCalcAPI,9833,9509,Bijan Robinson,RB,ATL,23.9,10122,2,2,9024,19146,-13,2,0.0046
FantasyCalcAPI,9924,9488,Jaxon Smith-Njigba,WR,SEA,23.8,10084,3,1,10491,20575,730,2,0.0068
FantasyCalcAPI,5856,7564,Ja'Marr Chase,WR,CIN,25.8,9830,4,2,9029,18859,-16,3,0.0081
FantasyCalcAPI,9822,9493,Puka Nacua,WR,LAR,24.5,9083,5,3,8747,17830,247,4,0.0069
FantasyCalcAPI,9969,9226,De'Von Achane,RB,MIA,24.2,7671,6,3,8865,16536,186,5,0.0095
FantasyCalcAPI,1527,7547,Amon-Ra St. Brown,WR,DET,26.1,7557,7,4,7468,15025,-40,5,0.0107
FantasyCalcAPI,4835,6786,CeeDee Lamb,WR,DAL,26.7,7506,8,5,7227,14733,-154,5,0.0106
FantasyCalcAPI,3046,6813,Jonathan Taylor,RB,IND,26.9,7146,9,4,9282,16428,-1371,6,0.008
FantasyCalcAPI,11702,11604,Brock Bowers,TE,LV,23.0,6902,10,1,5453,12355,-49,6,0.0041
FantasyCalcAPI,11737,11632,Malik Nabers,WR,NYG,22.4,6887,11,6,0,6887,378,6,0.0104
FantasyCalcAPI,7325,8130,Trey McBride,TE,ARI,26.1,6845,12,2,6867,13712,524,6,0.0079
FantasyCalcAPI,7569,6794,Justin Jefferson,WR,MIN,26.5,6784,13,7,4855,11639,-822,6,0.0202
FantasyCalcAPI,12612,12527,Ashton Jeanty,RB,LV,22.0,6532,14,5,5416,11948,-295,6,0.0101
FantasyCalcAPI,9929,10229,Rashee Rice,WR,KC,25.6,6197,15,8,7592,13789,-97,7,0.0111
FantasyCalcAPI,6170,4984,Josh Allen,QB,BUF,29.6,5965,16,1,5620,11585,188,7,0.005
FantasyCalcAPI,998,8112,Drake London,WR,ATL,24.4,5913,17,9,5149,11062,-700,7,0.017
FantasyCalcAPI,12573,12507,Omarion Hampton,RB,LAC,22.7,5653,18,6,3894,9547,58,8,0.0067
FantasyCalcAPI,182,8138,James Cook,RB,BUF,26.2,5592,19,7,7057,12649,178,8,0.0113
FantasyCalcAPI,11779,11584,Bucky Irving,RB,TB,23.3,5583,20,8,5536,11119,371,8,0.0115
FantasyCalcAPI,5494,4034,Christian McCaffrey,RB,SF,29.5,5516,21,9,9453,14969,-622,8,0.0283
FantasyCalcAPI,12595,12514,Emeka Egbuka,WR,TB,23.2,5445,22,10,3633,9078,-1139,9,0.0101
FantasyCalcAPI,12635,12526,Tetairoa McMillan,WR,CAR,22.7,5392,23,11,3457,8849,1110,9,0.0084
FantasyCalcAPI,5030,7569,Nico Collins,WR,HOU,26.7,5392,24,12,5637,11029,346,9,0.0155
FantasyCalcAPI,12580,12529,TreVeyon Henderson,RB,NE,23.1,5319,25,10,3768,9087,52,9,0.0061
FantasyCalcAPI,1436,8137,George Pickens,WR,DAL,24.8,5198,26,13,6859,12057,1147,10,0.0126
FantasyCalcAPI,15261,FP_2026_early_0,2026 1st (Early),PICK,,,5166,27,1,0,5166,395,10,
FantasyCalcAPI,11696,11564,Drake Maye,QB,NE,23.3,4975,27,2,3120,8095,164,10,0.0042
FantasyCalcAPI,12632,12512,Quinshon Judkins,RB,CLE,22.1,4813,28,11,4255,9068,2,11,0.0107
FantasyCalcAPI,12592,12518,Tyler Warren,TE,IND,23.5,4633,29,3,3390,8023,-193,11,0.008
FantasyCalcAPI,7257,4866,Saquon Barkley,RB,PHI,28.8,4560,30,12,6027,10587,-777,11,0.0245
FantasyCalcAPI,1326,5850,Josh Jacobs,RB,GB,27.8,4327,31,13,6332,10659,-307,12,0.0181
FantasyCalcAPI,11766,11635,Ladd McConkey,WR,LAC,24.1,4299,32,14,3286,7585,-277,12,0.0101
FantasyCalcAPI,3101,4881,Lamar Jackson,QB,BAL,28.9,4291,33,3,3092,7383,-635,12,0.0079
FantasyCalcAPI,7315,8150,Kyren Williams,RB,LAR,25.3,4217,34,14,4434,8651,-376,12,0.0108
FantasyCalcAPI,4576,8155,Breece Hall,RB,NYJ,24.5,4198,35,15,4140,8338,-176,12,0.015
FantasyCalcAPI,6813,8146,Garrett Wilson,WR,NYJ,25.4,4181,36,15,2675,6856,-30,12,0.0238
