player_id,name,position,team,engine_value,sf_engine_value
4984,Josh Allen,QB,BUF,513.4,643.2
6904,Jalen Hurts,QB,PHI,372.2,526.4
7523,Trevor Lawrence,QB,JAX,312.7,515.5
4881,Lamar Jackson,QB,BAL,309.9,491.4
8183,Brock Purdy,QB,SF,308.5,508.4
4046,Patrick Mahomes,QB,KC,300.6,495.1
6797,Justin Herbert,QB,LAC,284.4,474.3
6770,Joe Burrow,QB,CIN,275.6,456.5
11564,Drake Maye,QB,NE,275.3,455.1
5870,Daniel Jones,QB,IND,268.3,450.1
3294,Dak Prescott,QB,DAL,265.5,441.6
421,Matthew Stafford,QB,LAR,260.2,431.3
11563,Bo Nix,QB,DEN,258.5,432.4
11560,Caleb Williams,QB,CHI,257.9,431.3
6804,Jordan Love,QB,GB,255.6,429.3
7591,Justin Fields,QB,NYJ,254.1,428.3
4892,Baker Mayfield,QB,TB,250.8,417.8
3163,Jared Goff,QB,DET,248.9,417.1
5849,Kyler Murray,QB,ARI,246.7,415.7
11566,Jayden Daniels,QB,WSH,241.2,403.7
9758,C.J. Stroud,QB,HOU,236.8,400.6
4943,Sam Darnold,QB,SEA,229.1,388.8
3257,Jacoby Brissett,QB,ARI,227.8,387.6
2306,Jameis Winston,QB,NYG,214.3,369.1
12508,Jaxson Dart,QB,NYG,210.1,358.1
9228,Bryce Young,QB,CAR,208.0,360.1
6768,Tua Tagovailoa,QB,MIA,203.2,350.6
11559,Michael Penix Jr.,QB,ATL,203.0,353.5
3161,Carson Wentz,QB,MIN,199.5,345.6
12545,Tyler Shough,QB,NO,199.3,345.4
6111,Jake Browning,QB,CIN,197.5,342.5
7527,Mac Jones,QB,SF,197.3,346.6
7585,Davis Mills,QB,HOU,186.2,330.1
11565,J.J. McCarthy,QB,MIN,182.1,320.1
19,Joe Flacco,QB,CIN,179.4,308.8
2307,Marcus Mariota,QB,WSH,178.4,313.6
1373,Geno Smith,QB,LV,175.2,306.9
11562,Spencer Rattler,QB,NO,172.0,307.4
1166,Kirk Cousins,QB,ATL,168.3,294.2
96,Aaron Rodgers,QB,PIT,166.4,292.8
12524,Shedeur Sanders,QB,CLE,160.9,289.2
12522,Cam Ward,QB,TEN,160.2,288.8
3976,Mitchell Trubisky,QB,BUF,147.1,270.6
7083,Tyler Huntley,QB,BAL,145.9,266.6
1234,Russell Wilson,QB,NYG,145.1,260.6
827,Tyrod Taylor,QB,NYJ,137.2,253.5
