source,fc_id,sleeper_id,name,position,team,age,value,overall_rank,position_rank,redraft_value,combined_value,trend_30_day,tier,trade_frequency
FantasyCalcAPI,9821,9221,Jahmyr Gibbs,RB,DET,23.7,10330,1,1,9425,19755,1323,1,0.0042
FantasyCalcAPI,5856,7564,Ja'Marr Chase,WR,CIN,25.8,10224,2,1,9375,19599,121,1,0.0084
FantasyCalcAPI,9833,9509,Bijan Robinson,RB,ATL,23.9,9886,3,2,9051,18937,-519,2,0.005
FantasyCalcAPI,9924,9488,Jaxon Smith-Njigba,WR,SEA,23.8,9812,4,2,10299,20111,837,2,0.0054
FantasyCalcAPI,9822,9493,Puka Nacua,WR,LAR,24.5,8702,5,3,8598,17300,-224,3,0.0074
FantasyCalcAPI,4835,6786,CeeDee Lamb,WR,DAL,26.7,7776,6,4,7347,15123,196,4,0.0127
FantasyCalcAPI,3046,6813,Jonathan Taylor,RB,IND,26.9,7680,7,3,9577,17257,-552,4,0.0084
FantasyCalcAPI,9969,9226,De'Von Achane,RB,MIA,24.2,7549,8,4,8796,16345,968,5,0.0081
FantasyCalcAPI,1527,7547,Amon-Ra St. Brown,WR,DET,26.1,7381,9,5,7448,14829,-288,6,0.0108
FantasyCalcAPI,7569,6794,Justin Jefferson,WR,MIN,26.5,7128,10,6,4839,11967,-1175,7,0.019
FantasyCalcAPI,11702,11604,Brock Bowers,TE,LV,23.0,7113,11,1,5043,12156,336,7,0.0044
FantasyCalcAPI,11737,11632,Malik Nabers,WR,NYG,22.4,6849,12,7,0,6849,174,8,0.0116
FantasyCalcAPI,7325,8130,Trey McBride,TE,ARI,26.1,6614,13,2,6854,13468,1023,9,0.0054
FantasyCalcAPI,12612,12527,Ashton Jeanty,RB,LV,22.0,6467,14,5,4886,11353,-798,10,0.0078
FantasyCalcAPI,9929,10229,Rashee Rice,WR,KC,25.6,6429,15,8,7204,13633,201,10,0.0117
FantasyCalcAPI,998,8112,Drake London,WR,ATL,24.4,6156,16,9,5020,11176,-10,11,0.0113
FantasyCalcAPI,12573,12507,Omarion Hampton,RB,LAC,22.7,5997,17,6,3587,9584,335,11,0.0077
FantasyCalcAPI,6170,4984,Josh Allen,QB,BUF,29.6,5899,18,1,5689,11588,-160,11,0.0042
FantasyCalcAPI,5494,4034,Christian McCaffrey,RB,SF,29.5,5884,19,7,9516,15400,-278,11,0.0139
FantasyCalcAPI,182,8138,James Cook,RB,BUF,26.2,5862,20,8,6887,12749,95,11,0.0109
FantasyCalcAPI,12595,12514,Emeka Egbuka,WR,TB,23.2,5477,21,10,3486,8963,-513,12,0.0096
FantasyCalcAPI,11779,11584,Bucky Irving,RB,TB,23.3,5423,22,9,5122,10545,200,12,0.0146
FantasyCalcAPI,12580,12529,TreVeyon Henderson,RB,NE,23.1,5354,23,10,3561,8915,1664,12,0.0066
FantasyCalcAPI,12635,12526,Tetairoa McMillan,WR,CAR,22.7,5329,24,11,3273,8602,913,12,0.0078
FantasyCalcAPI,1436,8137,George Pickens,WR,DAL,24.8,5245,25,12,6913,12158,1302,13,0.0175
FantasyCalcAPI,5030,7569,Nico Collins,WR,HOU,26.7,5237,26,13,5354,10591,474,13,0.0173
FantasyCalcAPI,15261,FP_2026_early_0,2026 1st (Early),PICK,,,5133,27,1,0,5133,398,13,
FantasyCalcAPI,11696,11564,Drake Maye,QB,NE,23.3,4968,27,2,3023,7991,368,14,0.0039
FantasyCalcAPI,12592,12518,Tyler Warren,TE,IND,23.5,4933,28,3,3238,8171,57,14,0.006
FantasyCalcAPI,12632,12512,Quinshon Judkins,RB,CLE,22.1,4815,29,11,3944,8759,-495,14,0.0088
FantasyCalcAPI,7257,4866,Saquon Barkley,RB,PHI,28.8,4655,30,12,5762,10417,-901,15,0.0181
FantasyCalcAPI,11766,11635,Ladd McConkey,WR,LAC,24.1,4604,31,14,3348,7952,179,15,0.0105
FantasyCalcAPI,3101,4881,Lamar Jackson,QB,BAL,28.9,4539,32,3,3137,7676,-733,15,0.0104
FantasyCalcAPI,4576,8155,Breece Hall,RB,NYJ,24.5,4463,33,13,4075,8538,-95,15,0.0139
FantasyCalcAPI,6813,8146,Garrett Wilson,WR,NYJ,25.4,4425,34,15,2425,6850,-403,15,0.0192
FantasyCalcAPI,1326,5850,Josh Jacobs,RB,GB,27.8,4414,35,14,6581,10995,-411,15,0.0185
FantasyCalcAPI,7315,8150,Kyren Williams,RB,LAR,25.3,4199,36,15,4374,8573,-254,16,0.0135
FantasyCalcAPI,11726,11631,Brian Thomas,WR,JAX,23.2,4075,37,16,1755,5830,-219,16,0.0166
FantasyCalcAPI,880,4046,Patrick Mahomes,QB,KC,30.2,4041,38,4,3635,7676,-136,16,0.0055
FantasyCalcAPI,11734,11628,Marvin Harrison Jr,WR,ARI,23.3,4035,39,17,2104,6139,-493,16,0.0145
FantasyCalcAPI,9967,9224,Chase Brown,RB,CIN,25.7,4022,40,16,4839,8861,720,17,0.0187
FantasyCalcAPI,11701,11566,Jayden Daniels,QB,WAS,25.0,3981,41,5,1560,5541,8,17,0.0063
FantasyCalcAPI,4118,5859,A.J. Brown,WR,PHI,28.5,3928,42,18,4366,8294,181,17,0.0213
FantasyCalcAPI,6407,6904,Jalen Hurts,QB,PHI,27.3,3909,43,6,3832,7741,-252,17,0.0061
FantasyCalcAPI,11763,11620,Rome Odunze,WR,CHI,23.5,3853,44,19,1936,5789,-620,18,0.0141
FantasyCalcAPI,2548,8144,Chris Olave,WR,NO,25.5,3843,45,20,4185,8028,405,18,0.0157
FantasyCalcAPI,5531,6801,Tee Higgins,WR,CIN,26.9,3797,46,21,3190,6987,163,18,0.0157
FantasyCalcAPI,1002,6770,Joe Burrow,QB,CIN,29.0,3773,47,7,2608,6381,442,18,0.0091
FantasyCalcAPI,1100,8148,Jameson Williams,WR,DET,24.7,3504,48,22,2580,6084,1248,19,0.0184
FantasyCalcAPI,1409,7526,Jaylen Waddle,WR,MIA,27.0,3485,49,23,3635,7120,1,19,0.0136
FantasyCalcAPI,6963,7588,Javonte Williams,RB,DAL,25.6,3437,50,17,5058,8495,-316,19,0.0206
FantasyCalcAPI,15262,FP_2026_mid_0,2026 1st (Mid),PICK,,,3380,51,2,0,3380,262,19,
FantasyCalcAPI,12617,12530,Travis Hunter,WR,JAX,22.6,3283,51,24,0,3283,-282,20,0.0085
FantasyCalcAPI,8448,6797,Justin Herbert,QB,LAC,27.8,3261,52,8,1704,4965,-461,20,0.0066
FantasyCalcAPI,5421,3198,Derrick Henry,RB,BAL,31.9,3260,53,18,6175,9435,-283,20,0.0267
FantasyCalcAPI,12601,12489,RJ Harvey,RB,DEN,24.8,3251,54,19,2445,5696,366,20,0.0131
FantasyCalcAPI,12643,12481,Cam Skattebo,RB,NYG,23.8,3182,55,20,0,3182,-205,20,0.0156
FantasyCalcAPI,6635,7525,DeVonta Smith,WR,PHI,27.1,3123,56,25,3571,6694,-333,21,0.0106
FantasyCalcAPI,9824,9484,Tucker Kraft,TE,GB,25.1,3090,57,4,0,3090,-45,21,0.0126
FantasyCalcAPI,1749,8151,Kenneth Walker,RB,SEA,25.1,3043,58,21,2168,5211,286,21,0.0148
FantasyCalcAPI,12609,12508,Jaxson Dart,QB,NYG,22.6,3025,59,9,1569,4594,-42,21,0.0078
FantasyCalcAPI,11708,11560,Caleb Williams,QB,CHI,24.1,3025,60,10,1211,4236,150,21,0.0059
FantasyCalcAPI,1503,2133,Davante Adams,WR,LAR,33.0,2992,61,26,5155,8147,97,21,0.0323
FantasyCalcAPI,9662,FP_2026_1,2026 1st,PICK,,,2944,62,3,0,2944,131,21,
FantasyCalcAPI,9930,9997,Zay Flowers,WR,BAL,25.2,2907,62,27,2373,5280,-481,22,0.0108
FantasyCalcAPI,9843,10859,Sam LaPorta,TE,DET,24.9,2900,63,5,0,2900,-498,22,0.0127
FantasyCalcAPI,12578,12517,Colston Loveland,TE,CHI,21.7,2858,64,6,816,3674,153,22,0.0067
FantasyCalcAPI,3156,7543,Travis Etienne,RB,JAX,26.9,2844,65,22,3277,6121,66,22,0.0155
FantasyCalcAPI,9692,FP_2027_1,2027 1st,PICK,,,2835,66,4,0,2835,140,22,
FantasyCalcAPI,11728,11563,Bo Nix,QB,DEN,25.8,2766,66,11,1285,4051,-345,22,0.0054
FantasyCalcAPI,6637,3294,Dak Prescott,QB,DAL,32.4,2722,67,12,2739,5461,535,23,0.0118
FantasyCalcAPI,6785,8110,Jake Ferguson,TE,DAL,26.9,2700,68,7,1457,4157,29,23,0.0082
FantasyCalcAPI,8259,6819,Michael Pittman,WR,IND,28.2,2686,69,28,2793,5479,-454,23,0.0128
FantasyCalcAPI,5709,4217,George Kittle,TE,SF,32.2,2649,70,8,3462,6111,57,23,0.0153
FantasyCalcAPI,15263,FP_2026_late_0,2026 1st (Late),PICK,,,2648,71,5,0,2648,169,23,
FantasyCalcAPI,9847,9756,Jordan Addison,WR,MIN,23.9,2581,71,29,1050,3631,-321,23,0.0132
FantasyCalcAPI,1465,7021,Rico Dowdle,RB,CAR,27.5,2556,72,23,2944,5500,-437,23,0.0126
FantasyCalcAPI,12576,12493,Oronde Gadsden,TE,LAC,22.5,2512,73,9,763,3275,-386,24,0.0099
FantasyCalcAPI,1574,6790,D'Andre Swift,RB,CHI,26.9,2499,74,24,2238,4737,-37,24,0.0131
FantasyCalcAPI,5240,5846,DK Metcalf,WR,PIT,28.0,2463,75,30,1751,4214,-499,24,0.0116
FantasyCalcAPI,3651,6804,Jordan Love,QB,GB,27.1,2431,76,13,1221,3652,-85,24,0.0061
FantasyCalcAPI,11758,11589,Trey Benson,RB,ARI,23.4,2403,77,25,1235,3638,31,24,0.0133
FantasyCalcAPI,2737,4892,Baker Mayfield,QB,TB,30.7,2392,78,14,1580,3972,-223,24,0.0077
FantasyCalcAPI,12590,12519,Luther Burden,WR,CHI,22.0,2336,79,31,147,2483,420,24,0.0088
FantasyCalcAPI,6285,8228,Jaylen Warren,RB,PIT,27.1,2324,80,26,2611,4935,-533,24,0.013
FantasyCalcAPI,11752,11638,Ricky Pearsall,WR,SF,25.3,2282,81,32,983,3265,-196,25,0.0128
FantasyCalcAPI,5570,8183,Brock Purdy,QB,SF,26.0,2263,82,15,1192,3455,217,25,0.0079
FantasyCalcAPI,4864,5927,Terry McLaurin,WR,WAS,30.2,2254,83,33,1910,4164,75,25,0.0275
FantasyCalcAPI,9921,9753,Zach Charbonnet,RB,SEA,24.9,2192,84,27,901,3093,67,25,0.008
FantasyCalcAPI,9819,10236,Dalton Kincaid,TE,BUF,26.1,2169,85,10,756,2925,-223,25,0.0077
FantasyCalcAPI,15264,FP_2026_early_1,2026 2nd (Early),PICK,,,2164,86,6,0,2164,107,25,
FantasyCalcAPI,9838,9758,C.J. Stroud,QB,HOU,24.2,2162,86,16,273,2435,59,25,0.0088
FantasyCalcAPI,12711,12534,Kyle Monangai,RB,CHI,23.5,2159,87,28,1254,3413,3,25,0.019
FantasyCalcAPI,12599,12474,Woody Marks,RB,HOU,24.9,2145,88,29,1523,3668,232,25,0.0153
FantasyCalcAPI,2463,5947,Jakobi Meyers,WR,LV,29.1,2144,89,34,1240,3384,355,25,0.0231
FantasyCalcAPI,818,5045,Courtland Sutton,WR,DEN,30.2,2143,90,35,1924,4067,-287,25,0.0129
FantasyCalcAPI,9722,FP_2028_1,2028 1st,PICK,,,2136,91,7,0,2136,11,25,
FantasyCalcAPI,11736,11624,Xavier Worthy,WR,KC,22.6,2134,91,36,770,2904,-436,25,0.0102
FantasyCalcAPI,4091,8126,Wan'Dale Robinson,WR,NYG,24.9,2109,92,37,1352,3461,294,25,0.0122
FantasyCalcAPI,12659,12506,Harold Fannin,TE,CLE,21.4,2065,93,11,480,2545,-290,25,0.0081
FantasyCalcAPI,8587,3163,Jared Goff,QB,DET,31.2,2063,94,17,1326,3389,156,25,0.0075
FantasyCalcAPI,12620,12490,Bhayshul Tuten,RB,JAX,23.8,2017,95,30,592,2609,85,26,0.0078
FantasyCalcAPI,12652,12484,Jayden Higgins,WR,HOU,23.0,2012,96,38,404,2416,385,26,0.0103
FantasyCalcAPI,5981,8167,Christian Watson,WR,GB,26.6,1988,97,39,872,2860,569,26,0.0157
FantasyCalcAPI,7515,5892,David Montgomery,RB,DET,28.5,1983,98,31,1905,3888,-251,26,0.0099
FantasyCalcAPI,5433,8142,Alec Pierce,WR,IND,25.6,1982,99,40,1079,3061,334,26,0.0131
FantasyCalcAPI,11738,11627,Troy Franklin,WR,DEN,22.8,1979,100,41,876,2855,57,26,0.009
FantasyCalcAPI,12672,12501,Matthew Golden,WR,GB,22.4,1972,101,42,63,2035,-175,26,0.0098
FantasyCalcAPI,183,7594,Chuba Hubbard,RB,CAR,26.5,1963,102,32,535,2498,95,26,0.0082
FantasyCalcAPI,2495,5872,Deebo Samuel,WR,WAS,29.9,1951,103,43,1655,3606,-13,26,0.0125
FantasyCalcAPI,9879,9754,Quentin Johnston,WR,LAC,24.3,1948,104,44,812,2760,-550,26,0.0099
FantasyCalcAPI,2204,1466,Travis Kelce,TE,KC,36.2,1940,105,12,2402,4342,251,26,0.0226
FantasyCalcAPI,6110,4983,DJ Moore,WR,CHI,28.7,1923,106,45,1088,3011,-264,26,0.0115
FantasyCalcAPI,9863,10222,Jayden Reed,WR,GB,25.6,1920,107,46,252,2172,-21,26,0.0091
FantasyCalcAPI,6429,6803,Brandon Aiyuk,WR,SF,27.7,1914,108,47,68,1982,-29,26,0.0091
FantasyCalcAPI,8607,8134,Khalil Shakir,WR,BUF,25.9,1898,109,48,1155,3053,-214,26,0.0077
FantasyCalcAPI,1086,7523,Trevor Lawrence,QB,JAX,26.2,1861,110,18,321,2182,-89,26,0.0086
FantasyCalcAPI,280,7553,Kyle Pitts,TE,ATL,25.2,1856,111,13,567,2423,-285,26,0.008
FantasyCalcAPI,6408,8132,Tyler Allgeier,RB,ATL,25.7,1849,112,33,446,2295,354,26,0.0079
FantasyCalcAPI,15265,FP_2026_mid_1,2026 2nd (Mid),PICK,,,1829,113,8,0,1829,65,26,
FantasyCalcAPI,5,5870,Daniel Jones,QB,IND,28.5,1801,113,19,1136,2937,-241,27,0.0105
FantasyCalcAPI,9948,9480,Brenton Strange,TE,JAX,25.0,1794,114,14,441,2235,488,27,0.0115
FantasyCalcAPI,3214,2449,Stefon Diggs,WR,NE,32.0,1784,115,49,2247,4031,-26,27,0.0112
FantasyCalcAPI,12123,11655,Tyrone Tracy,RB,NYG,26.1,1777,116,34,1226,3003,59,27,0.0065
FantasyCalcAPI,7495,2216,Mike Evans,WR,TB,32.3,1762,117,50,0,1762,394,27,0.014
FantasyCalcAPI,4144,4035,Alvin Kamara,RB,NO,30.4,1751,118,35,1412,3163,-133,27,0.0061
FantasyCalcAPI,8007,4943,Sam Darnold,QB,SEA,28.5,1743,119,20,523,2266,-304,27,0.0091
FantasyCalcAPI,12598,12504,Kaleb Johnson,RB,PIT,22.3,1738,120,36,0,1738,-110,27,0.0064
FantasyCalcAPI,12603,12522,Cameron Ward,QB,TEN,23.5,1730,121,21,79,1809,137,27,0.0075
FantasyCalcAPI,2382,4199,Aaron Jones,RB,MIN,31.0,1721,122,37,1735,3456,-4,27,0.0067
FantasyCalcAPI,9663,FP_2026_2,2026 2nd,PICK,,,1716,123,9,0,1716,34,27,
FantasyCalcAPI,2505,4037,Chris Godwin,WR,TB,29.8,1711,123,51,967,2678,2,27,0.012
FantasyCalcAPI,11747,11586,Blake Corum,RB,LAR,25.0,1703,124,38,354,2057,210,27,0.0086
FantasyCalcAPI,5149,6806,J.K. Dobbins,RB,DEN,27.0,1689,125,39,0,1689,-666,27,0.0073
