player_id,name,position,team,engine_value
9488,Jaxon Smith-Njigba,WR,SEA,943.6
8151,Kenneth Walker III,RB,SEA,471.7
7591,Justin Fields,QB,NYJ,714.1
7602,Kylen Granson,TE,PHI,346.5
11584,Bucky Irving,RB,TB,807.5
9497,Jalin Hyatt,WR,NYG,432.0
5374,Justin Watson,WR,HOU,385.3
7537,Jaret Patterson,RB,LAC,361.9
11655,Tyrone Tracy Jr.,RB,NYG,382.3
9226,De'Von Achane,RB,MIA,833.9
12732,Dominic Lovett,WR,DET,408.2
8146,Garrett Wilson,WR,NYJ,663.9
4177,Mack Hollins,WR,NE,420.4
5859,A.J. Brown,WR,PHI,620.9
9757,Kendre Miller,RB,NO,406.5
9224,Chase Brown,RB,CIN,504.3
10229,Rashee Rice,WR,KC,999.9
11624,Xavier Worthy,WR,KC,577.4
12658,Jackson Hawes,TE,BUF,417.7
6797,Justin Herbert,QB,LAC,773.0
11635,Ladd McConkey,WR,LAC,664.0
11994,Kameron Johnson,WR,TB,433.5
11633,Jamari Thrash,WR,CLE,445.1
12486,Dillon Gabriel,QB,CLE,583.2
3163,Jared Goff,QB,DET,729.6
6806,J.K. Dobbins,RB,DEN,424.3
11650,Luke McCaffrey,WR,WSH,514.3
4217,George Kittle,TE,SF,509.7
11600,Ja'Tavion Sanders,TE,CAR,427.8
3200,Sterling Shepard,WR,TB,420.9
10210,Cameron Latu,TE,PHI,363.3
7571,Rashod Bateman,WR,BAL,497.9
8148,Jameson Williams,WR,DET,598.2
12527,Ashton Jeanty,RB,LV,742.3
5850,Josh Jacobs,RB,GB,670.7
2359,Ameer Abdullah,RB,IND,188.1
4066,Evan Engram,TE,DEN,385.8
10236,Dalton Kincaid,TE,BUF,590.6
7553,Kyle Pitts Sr.,TE,ATL,504.2
8698,Jake Tonges,TE,SF,438.0
8253,,,,472.3
7594,Chuba Hubbard,RB,CAR,389.9
3214,Hunter Henry,TE,NE,447.7
8250,Tay Martin,WR,WSH,375.9
10213,Tre Tucker,WR,LV,597.8
11564,Drake Maye,QB,NE,853.1
5127,Kyle Allen,QB,DET,400.0
7842,Luke Farrell,TE,SF,358.0
8135,Treylon Burks,WR,WSH,509.7
12490,Bhayshul Tuten,RB,JAX,472.2
8207,Tyler Goodson,RB,IND,227.1
6770,Joe Burrow,QB,CIN,636.9
11643,Jaylen Wright,RB,MIA,348.2
7757,Ben Skowronek,WR,PIT,355.7
12524,Shedeur Sanders,QB,CLE,580.2
11570,Rasheen Ali,RB,BAL,290.0
6783,Jerry Jeudy,WR,CLE,522.9
8167,Christian Watson,WR,GB,593.6
6130,Devin Singletary,RB,NYG,306.2
11510,Hunter Luepke,RB,DAL,255.2
7547,Amon-Ra St. Brown,WR,DET,820.9
11377,Tyrell Shavers,WR,BUF,425.8
3269,Chris Moore,WR,WSH,339.5
11306,Xavier Gipson,WR,PHI,400.7
10871,Luke Schoonmaker,TE,DAL,362.6
12541,Dont'e Thornton Jr.,WR,LV,449.1
4054,Mo Alie-Cox,TE,IND,245.9
11895,Mason Tipton,WR,NO,416.3
10859,Sam LaPorta,TE,DET,598.1
3161,Carson Wentz,QB,MIN,677.5
8123,Hassan Haskins,RB,LAC,237.4
11627,Troy Franklin,WR,DEN,630.9
10234,Derius Davis,WR,LAC,391.2
4035,Alvin Kamara,RB,NO,372.3
12510,Jalen Milroe,QB,SEA,397.1
7525,DeVonta Smith,WR,PHI,607.7
7090,Darnell Mooney,WR,ATL,459.4
11563,Bo Nix,QB,DEN,777.4
9479,Darnell Washington,TE,PIT,441.7
4718,Dare Ogunbowale,RB,HOU,108.5
6960,Tyler Johnson,WR,NYJ,417.9
7436,Mason Kinsey,WR,TEN,357.7
8583,,,,340.7
10218,Xavier Hutchinson,WR,HOU,518.3
4892,Baker Mayfield,QB,TB,716.2
12699,LaJohntay Wester,WR,BAL,404.3
5113,Cedrick Wilson Jr.,WR,MIA,313.9
9501,DeMario Douglas,WR,NE,535.5
11623,Jordan Whittington,WR,LAR,446.1
7002,Juwan Johnson,TE,NO,471.4
5008,Durham Smythe,TE,CHI,277.0
7587,Dyami Brown,WR,JAX,502.9
10219,Chris Rodriguez Jr.,RB,WSH,356.2
8127,Charlie Kolar,TE,BAL,392.3
1373,Geno Smith,QB,LV,622.3
6865,Colby Parkinson,TE,LAR,441.3
8484,Ko Kieft,TE,TB,340.7
11210,Malik Heath,WR,GB,415.1
12357,David Martin-Robinson,TE,TEN,375.0
12520,Xavier Restrepo,WR,TEN,491.0
8917,KaVontae Turpin,WR,DAL,419.5
6869,Adam Trautman,TE,DEN,367.4
11589,Trey Benson,RB,ARI,475.0
5973,Josh Oliver,TE,MIN,362.2
11201,Blake Whiteheart,TE,CLE,366.9
