player_id,name,position,team,engine_value,sf_engine_value,value_confidence,engine_value_8,sf_engine_value_8,engine_value_10,sf_engine_value_10,engine_value_12,sf_engine_value_12,engine_value_14,sf_engine_value_14
12500,Quinn Ewers,QB,MIA,108.2,357.6,0.33,108.2,357.6,108.2,357.6,108.2,357.6,108.2,357.6
5854,Drew Lock,QB,SEA,107.7,336.2,0.307,107.7,336.2,107.7,336.2,107.7,336.2,107.7,336.2
12538,Brady Cook,QB,NYJ,105.7,330.2,0.326,105.7,330.2,105.7,330.2,105.7,330.2,105.7,330.2
9230,Tanner McKee,QB,PHI,102.1,328.3,0.312,102.1,328.3,102.1,328.3,102.1,328.3,102.1,328.3
4381,Taysom Hill,QB,NO,100.6,261.7,0.309,100.6,261.7,100.6,261.7,100.6,261.7,100.6,261.7
1837,Jimmy Garoppolo,QB,LAR,97.8,257.0,0.327,97.8,257.0,97.8,257.0,97.8,257.0,97.8,257.0
4972,Mason Rudolph,QB,PIT,95.2,251.8,0.309,95.2,251.8,95.2,251.8,95.2,251.8,95.2,251.8
8162,Sam Howell,QB,DAL,93.3,304.0,0.332,93.3,304.0,93.3,304.0,93.3,304.0,93.3,304.0
4574,Cooper Rush,QB,BAL,89.6,232.9,0.301,89.6,232.9,89.6,232.9,89.6,232.9,89.6,232.9
11256,Tyson Bagent,QB,CHI,82.5,262.3,0.325,82.5,262.3,82.5,262.3,82.5,262.3,82.5,262.3
12470,Riley Leonard,QB,IND,74.9,269.7,0.324,74.9,269.7,74.9,269.7,74.9,269.7,74.9,269.7
829,Andy Dalton,QB,PHI,68.1,190.8,0.304,68.1,190.8,68.1,190.8,68.1,190.8,68.1,190.8
9221,Jahmyr Gibbs,RB,DET,997.3,856.3,0.278,997.3,856.3,997.3,856.3,997.3,856.3,997.3,856.3
9509,Bijan Robinson,RB,ATL,927.8,796.0,0.282,922.5,791.3,927.8,796.0,930.8,798.7,934.5,801.9
9226,De'Von Achane,RB,MIA,819.7,702.6,0.285,806.7,691.2,819.7,702.6,827.4,709.4,837.1,717.8
11584,Bucky Irving,RB,TB,730.6,626.6,0.275,714.9,612.7,730.6,626.6,740.1,634.8,752.1,645.1
12507,Omarion Hampton,RB,LAC,655.1,562.0,0.29,636.0,545.3,655.1,562.0,666.9,572.1,681.7,584.9
12527,Ashton Jeanty,RB,LV,651.5,558.9,0.29,632.3,542.2,651.5,558.9,663.3,569.1,678.2,581.9
8150,Kyren Williams,RB,LAR,635.2,544.1,0.272,609.2,521.9,635.2,544.1,652.2,558.7,674.0,577.3
8155,Breece Hall,RB,NYJ,564.8,484.3,0.27,538.4,461.7,564.8,484.3,582.8,499.7,605.8,519.4
12512,Quinshon Judkins,RB,CLE,553.9,475.3,0.29,528.3,453.2,553.9,475.3,570.3,489.4,591.1,507.2
6813,Jonathan Taylor,RB,IND,545.7,467.9,0.289,545.7,467.9,545.7,467.9,548.1,469.9,567.5,486.4
12481,Cam Skattebo,RB,NYG,538.8,462.3,0.29,511.6,438.9,538.8,462.3,556.5,477.4,578.9,496.7
4034,Christian McCaffrey,RB,SF,537.8,461.2,0.29,537.8,461.2,537.8,461.2,537.8,461.2,537.8,461.2
12529,TreVeyon Henderson,RB,NE,522.4,448.3,0.29,494.3,424.3,522.4,448.3,540.7,464.0,564.0,483.9
8151,Kenneth Walker III,RB,KC,500.4,429.4,0.264,482.4,414.1,500.4,429.4,521.9,447.7,549.5,471.3
8138,James Cook III,RB,BUF,474.4,407.4,0.28,465.0,399.3,474.4,407.4,492.4,422.6,520.2,446.3
9224,Chase Brown,RB,CIN,469.7,403.3,0.279,448.7,385.5,469.7,403.3,488.7,419.5,516.1,442.8
