,List compiled by @NFLDraft_Westen (Twitter).  Please consider following to support his work.  DM for player additions and updates as needed.,,,,,,,,,,,,,Updated: 4/7/2026 @9AM ET,,
,All athletic results are accessed from ras.football.  Please follow @mathbomb and support his work.,,,,,,,,,,,,,,,
PLAYER,COLLEGE,Pro Day Date,POS,SOURCE,HEIGHT,WEIGHT,ARM,HAND,40 (O),10 (O),BENCH,VERT,BROAD,SHUTTLE,3 CONE,RAS
,,,,,,,,,,,,,,,,
Jack Kelly,BYU,3/20/2026,LB,Pro Day/Combine,6015,240,3118,0918,4.57,1.61,,37.0,1005,4.19,7.12,9.70
Hezekiah Masses,Cal,3/19/2026,CB,Pro Day/Combine,6005,179,3118,0828,4.46,1.57,,31.5,911,4.51,7.31,3.30
Dontay Corleone,Cincinnati,3/24/2026,DL,Pro Day/Combine,6004,340,3178,0948,,,,,,,,
Jake Golday,Cincinnati,3/24/2026,LB,Pro Day/Combine,6044,239,3178,0948,4.62,1.59,,39.0,1005,4.34,7.02,9.85
Jeff Caldwell,Cincinnati,3/24/2026,WR,Pro Day/Combine,6046,216,3258,0968,4.31,1.48,,42.0,1102,,,10.00
Joe Royer,Cincinnati,3/24/2026,TE,Pro Day/Combine,6046,247,3148,1068,,,,,,,,
Adam Randall,Clemson,3/12/2026,RB,Pro Day/Combine,6031,231,3238,0968,4.50,1.6,26,37.0,1004,4.53,,9.43
Antonio Williams,Clemson,3/12/2026,WR,Pro Day/Combine,5115,187,3068,0928,4.41,1.55,10,39.5,1004,4.1,7,8.52
Avieon Terrell,Clemson,3/12/2026,CB,Pro Day/Combine,5112,186,3100,0858,,,17,34.0,1003,,,
Blake Miller,Clemson,3/12/2026,OT,Pro Day/Combine,6066,318,3428,0968,5.04,1.75,32,32.0,905,4.65,7.75,9.90
Cade Klubnik,Clemson,3/12/2026,QB,Pro Day/Combine,6017,207,3118,0928,4.70,1.58,,8.3,,,,7.54
Demonte Capehart,Clemson,3/12/2026,DT,Pro Day/Combine,6044,312,3378,1028,4.85,1.72,,33.5,811,,,9.96
Peter Woods,Clemson,3/12/2026,DT,Pro Day/Combine,6024,298,3128,0918,,1.67,,29.0,808,4.54,7.7,7.45
T.J. Parker,Clemson,3/12/2026,ED,Pro Day/Combine,6033,255,3318,0948,4.68,1.61,,34.0,,,,9.35
