source,fc_id,sleeper_id,name,position,team,age,value,overall_rank,position_rank,redraft_value,combined_value,trend_30_day,tier,trade_frequency
FantasyCalcAPI,9821,9221,Jahmyr Gibbs,RB,DET,23.7,10301,1,1,9428,19729,1261,1,0.0041
FantasyCalcAPI,5856,7564,Ja'Marr Chase,WR,CIN,25.8,10269,2,1,9305,19574,-7,1,0.0089
FantasyCalcAPI,9924,9488,Jaxon Smith-Njigba,WR,SEA,23.8,9856,3,2,10342,20198,889,2,0.0058
FantasyCalcAPI,9833,9509,Bijan Robinson,RB,ATL,23.9,9819,4,2,9080,18899,-369,2,0.0043
FantasyCalcAPI,9822,9493,Puka Nacua,WR,LAR,24.5,8774,5,3,8512,17286,-96,3,0.0067
FantasyCalcAPI,4835,6786,CeeDee Lamb,WR,DAL,26.7,7715,6,4,7374,15089,92,4,0.0114
FantasyCalcAPI,3046,6813,Jonathan Taylor,RB,IND,26.9,7693,7,3,9503,17196,-472,4,0.0082
FantasyCalcAPI,9969,9226,De'Von Achane,RB,MIA,24.2,7537,8,4,8816,16353,957,4,0.0077
FantasyCalcAPI,1527,7547,Amon-Ra St. Brown,WR,DET,26.1,7320,9,5,7312,14632,-656,5,0.0106
FantasyCalcAPI,7569,6794,Justin Jefferson,WR,MIN,26.5,7165,10,6,4738,11903,-1129,5,0.0191
FantasyCalcAPI,11702,11604,Brock Bowers,TE,LV,23.0,7070,11,1,5103,12173,128,5,0.0047
FantasyCalcAPI,11737,11632,Malik Nabers,WR,NYG,22.4,6745,12,7,0,6745,-43,6,0.0116
FantasyCalcAPI,7325,8130,Trey McBride,TE,ARI,26.1,6625,13,2,6829,13454,938,6,0.0053
FantasyCalcAPI,12612,12527,Ashton Jeanty,RB,LV,22.0,6550,14,5,5014,11564,-488,6,0.0075
FantasyCalcAPI,9929,10229,Rashee Rice,WR,KC,25.6,6316,15,8,7368,13684,264,7,0.0127
FantasyCalcAPI,998,8112,Drake London,WR,ATL,24.4,6187,16,9,5111,11298,66,7,0.0138
FantasyCalcAPI,12573,12507,Omarion Hampton,RB,LAC,22.7,5857,17,6,3536,9393,257,8,0.008
FantasyCalcAPI,6170,4984,Josh Allen,QB,BUF,29.6,5853,18,1,5679,11532,-114,8,0.0041
FantasyCalcAPI,5494,4034,Christian McCaffrey,RB,SF,29.5,5838,19,7,9497,15335,-519,8,0.0137
